## ABC Rejection algorithm
## Number of simulations: 325846
## Acceptance ratio: 0.0003
parameter1	parameter2	distance
1.9604097253967634	0.40873507655331043	0.08000000000000002
2.0245900757744417	0.5284254464253815	0.08
2.0098149304501067	0.33673590671093967	0.08
2.1334924890993223	0.54195229028748	0.09
1.9358441571544116	0.35340795738190733	0.09
2.0318108462491447	0.4433326435271798	0.060000000000000005
2.034487404425973	0.4924273058997293	0.09999999999999999
1.9611619362046806	0.4740266424716739	0.09999999999999998
2.0259988679942786	0.36870931112556704	0.08000000000000002
1.9223521456958803	0.5242458912426429	0.09999999999999998
2.065094061251358	0.46072810682948173	0.08000000000000002
1.9807479329075095	0.5039509689939514	0.09999999999999999
1.932367976259215	0.4982749396658086	0.09
1.9519840573873015	0.5361668009532763	0.09
1.9027228417206254	0.4574992518696841	0.09
2.003971495706822	0.47848055879279716	0.08
1.9789614403440536	0.3575591602498087	0.09999999999999999
1.9923669050720472	0.5666814481984375	0.09000000000000001
1.9582836367060041	0.502778247958696	0.09
2.0159531135685027	0.35292527683245556	0.08
2.0054423437000723	0.6458407695621977	0.09999999999999999
1.9613340044308636	0.44933710681060157	0.09999999999999999
1.9938301352573973	0.4154888536251229	0.09999999999999999
1.9957590328584596	0.4048119350972592	0.09000000000000001
1.9361907210807505	0.4523687616503782	0.08
1.924732108185827	0.5196393014551193	0.08999999999999997
1.8903983986375117	0.557721163574799	0.09
2.0096277791680306	0.441726243286821	0.07999999999999999
1.9471387053494738	0.43524204378767495	0.08
1.9278940589984783	0.5558243298358638	0.07
1.8669269775102482	0.457793817012087	0.07
2.0283705106511363	0.3910581271794382	0.07999999999999999
1.8798369712410157	0.39977554090249345	0.07
2.0106622078854786	0.3499977034660855	0.09999999999999999
2.04703039439849	0.4650595270084068	0.09
2.002694302886394	0.4095254093840377	0.09
2.009716410085587	0.3576063215396381	0.09
2.0465932004244314	0.44278424025131224	0.09
1.8785148427274967	0.5386372663020382	0.09999999999999999
1.9550630188237461	0.3994310759949733	0.07
2.0059896101204178	0.44069126625725286	0.09000000000000001
2.031665455422673	0.5276612662959099	0.08
1.97929956991453	0.391145933002671	0.09999999999999999
1.956378917694268	0.5157413335204808	0.07999999999999999
1.999295669021901	0.43575140457927164	0.09
1.9757573763798408	0.44241960850474404	0.09
2.004035889143978	0.43395677685172673	0.08999999999999997
2.0065576329097734	0.40387258652359526	0.09999999999999999
2.0098574793918056	0.4420915566926409	0.07
1.9078309107746172	0.46872390818118204	0.09999999999999999
1.993138859756538	0.5183243930540025	0.09
2.0140006886034456	0.41499875222148663	0.07
1.9216385374289846	0.3914495669262372	0.08
1.9662940450070776	0.4476865299961288	0.09
2.0290942259540135	0.4121303469613653	0.09
2.0551410660797664	0.40677100097035934	0.08
2.0094191039585896	0.4169808547959346	0.08
2.0870776053530093	0.5285699738974259	0.06000000000000001
1.9422724558931037	0.517997884292515	0.08
1.9113252916525614	0.4938967083096024	0.08
1.9612278453662357	0.4423040942389771	0.07
1.9845869779846703	0.3800818809031945	0.06000000000000001
2.0414448895213244	0.48015919215078773	0.09
1.923466314003739	0.4891806105484533	0.09999999999999999
1.981305329926144	0.3991528973004921	0.09
1.9498094146185663	0.538518861073348	0.07
2.033450238344834	0.4560732523252118	0.08
1.9764929971266065	0.33042491754088044	0.08
1.927320606410432	0.5305088500307438	0.09
1.8580025946032253	0.5383516098030285	0.09
1.893859743442441	0.44058751797017326	0.09999999999999999
1.9390214344632684	0.3568271803570342	0.07
2.064272941554539	0.5733879352991162	0.09
1.9324180270314928	0.4405473957544208	0.08
1.9161797267301095	0.3860974713632239	0.09999999999999999
2.0021986629285182	0.3787737172253758	0.09000000000000001
2.0880853625106655	0.3644720203873102	0.07
1.881395725641486	0.36880691520037345	0.08
1.9281122561909125	0.40049528091092634	0.060000000000000005
2.0999251103372973	0.4776852279985029	0.08000000000000002
1.9821573729730835	0.4263366461560101	0.08000000000000002
1.9980364083454294	0.3702021600430796	0.09000000000000001
2.04480916857257	0.4392426536768501	0.060000000000000005
1.9806463449577594	0.32807963109311533	0.09
1.9303681151525964	0.4277341223864757	0.09
1.8836382593551448	0.5573086155040636	0.09
2.005823226737955	0.40425145725492584	0.09
2.011443499859289	0.3713651186324092	0.09999999999999999
1.9563614325696355	0.35031167159899246	0.07
1.9222518298021285	0.4421330066224196	0.07
1.8113085065592882	0.5128787909780304	0.09999999999999999
2.069690565097182	0.4638419466011139	0.09999999999999999
1.9267684689397946	0.6509932813131192	0.08
1.9104939633431384	0.43138160941343084	0.09
1.9929583606814782	0.5368677337781418	0.09
1.986892738769308	0.3322350202832429	0.09999999999999999
1.8900564985804058	0.5366310560293566	0.09
2.039705448375422	0.49432763264920876	0.09999999999999999
1.9403080082842106	0.4287156922579656	0.09999999999999999
2.073911463200453	0.49163612697580295	0.08000000000000002
